#N	exact	computed
400	3.5	3.499999903770421
450	3.5	3.499999939896380
500	3.5	3.499999960538224
550	3.5	3.499999973022352
600	3.5	3.499999980927282
650	3.5	3.499999986130804
700	3.5	3.499999989667370
750	3.5	3.499999992139707
800	3.5	3.499999993909369
850	3.5	3.499999995204008
900	3.5	3.499999996166802
950	3.5	3.499999996896486
1000	3.5	3.499999997456468
1050	3.5	3.499999997893557
1100	3.5	3.499999998236695
1150	3.5	3.499999998510422
1200	3.5	3.499999998731107
1250	3.5	3.499999998910434
1300	3.5	3.499999999055874
1350	3.5	3.499999999177164
1400	3.5	3.499999999277341
1450	3.5	3.499999999360939
1500	3.5	3.499999999431983
1550	3.5	3.499999999491636
1600	3.5	3.499999999542307
