#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.48775722E-19  0.23790711E-38  0.00000000E+00   50.000000
  -9.982  0.99053853E-19  0.98116658E-38  0.00000000E+00   49.818347
  -9.964  0.15237210E-18  0.23217258E-37  0.00000000E+00   49.637025
  -9.945  0.21034902E-18  0.44246710E-37  0.00000000E+00   49.456033
  -9.927  0.27473222E-18  0.75477792E-37  0.00000000E+00   49.275372
  -9.909  0.34744977E-18  0.12072134E-36  0.00000000E+00   49.095041
  -9.891  0.43066619E-18  0.18547337E-36  0.00000000E+00   48.915041
  -9.873  0.52684467E-18  0.27756530E-36  0.00000000E+00   48.735372
  -9.855  0.63881716E-18  0.40808736E-36  0.00000000E+00   48.556033
  -9.836  0.76986441E-18  0.59269121E-36  0.00000000E+00   48.377025
  -9.818  0.92380795E-18  0.85342112E-36  0.00000000E+00   48.198347
  -9.800  0.11051165E-17  0.12212826E-35  0.00000000E+00   48.020000
  -9.782  0.13190300E-17  0.17398402E-35  0.00000000E+00   47.841983
  -9.764  0.15717037E-17  0.24702525E-35  0.00000000E+00   47.664298
  -9.745  0.18703770E-17  0.34983100E-35  0.00000000E+00   47.486942
  -9.727  0.22235708E-17  0.49442672E-35  0.00000000E+00   47.309917
  -9.709  0.26413193E-17  0.69765676E-35  0.00000000E+00   47.133223
  -9.691  0.31354404E-17  0.98309866E-35  0.00000000E+00   46.956860
  -9.673  0.37198542E-17  0.13837315E-34  0.00000000E+00   46.780826
  -9.655  0.44109553E-17  0.19456526E-34  0.00000000E+00   46.605124
  -9.636  0.52280500E-17  0.27332507E-34  0.00000000E+00   46.429752
  -9.618  0.61938687E-17  0.38364010E-34  0.00000000E+00   46.254711
  -9.600  0.73351663E-17  0.53804665E-34  0.00000000E+00   46.080000
  -9.582  0.86834257E-17  0.75401882E-34  0.00000000E+00   45.905620
  -9.564  0.10275682E-16  0.10558965E-33  0.00000000E+00   45.731570
  -9.545  0.12155489E-16  0.14775592E-33  0.00000000E+00   45.557851
  -9.527  0.14374048E-16  0.20661327E-33  0.00000000E+00   45.384463
  -9.509  0.16991531E-16  0.28871213E-33  0.00000000E+00   45.211405
  -9.491  0.20078628E-16  0.40315130E-33  0.00000000E+00   45.038678
  -9.473  0.23718357E-16  0.56256047E-33  0.00000000E+00   44.866281
  -9.455  0.28008181E-16  0.78445820E-33  0.00000000E+00   44.694215
  -9.436  0.33062478E-16  0.10931275E-32  0.00000000E+00   44.522479
  -9.418  0.39015434E-16  0.15222041E-32  0.00000000E+00   44.351074
  -9.400  0.46024411E-16  0.21182464E-32  0.00000000E+00   44.180000
  -9.382  0.54273893E-16  0.29456554E-32  0.00000000E+00   44.009256
  -9.364  0.63980074E-16  0.40934499E-32  0.00000000E+00   43.838843
  -9.345  0.75396228E-16  0.56845912E-32  0.00000000E+00   43.668760
  -9.327  0.88818953E-16  0.78888064E-32  0.00000000E+00   43.499008
  -9.309  0.10459547E-15  0.10940212E-31  0.00000000E+00   43.329587
  -9.291  0.12313210E-15  0.15161513E-31  0.00000000E+00   43.160496
  -9.273  0.14490417E-15  0.20997219E-31  0.00000000E+00   42.991736
  -9.255  0.17046754E-15  0.29059182E-31  0.00000000E+00   42.823306
  -9.236  0.20047198E-15  0.40189015E-31  0.00000000E+00   42.655207
  -9.218  0.23567681E-15  0.55543559E-31  0.00000000E+00   42.487438
  -9.200  0.27696901E-15  0.76711833E-31  0.00000000E+00   42.320000
  -9.182  0.32538434E-15  0.10587497E-30  0.00000000E+00   42.152893
  -9.164  0.38213186E-15  0.14602476E-30  0.00000000E+00   41.986116
  -9.145  0.44862240E-15  0.20126206E-30  0.00000000E+00   41.819669
  -9.127  0.52650166E-15  0.27720400E-30  0.00000000E+00   41.653554
  -9.109  0.61768862E-15  0.38153923E-30  0.00000000E+00   41.487769
  -9.091  0.72442012E-15  0.52478450E-30  0.00000000E+00   41.322314
  -9.073  0.84930254E-15  0.72131480E-30  0.00000000E+00   41.157190
  -9.055  0.99537183E-15  0.99076508E-30  0.00000000E+00   40.992397
  -9.036  0.11661630E-14  0.13599361E-29  0.00000000E+00   40.827934
  -9.018  0.13657905E-14  0.18653838E-29  0.00000000E+00   40.663802
  -9.000  0.15990421E-14  0.25569355E-29  0.00000000E+00   40.500000
  -8.982  0.18714860E-14  0.35024599E-29  0.00000000E+00   40.336529
  -8.964  0.21895969E-14  0.47943347E-29  0.00000000E+00   40.173388
  -8.945  0.25609000E-14  0.65582089E-29  0.00000000E+00   40.010579
  -8.927  0.29941387E-14  0.89648664E-29  0.00000000E+00   39.848099
  -8.909  0.34994679E-14  0.12246276E-28  0.00000000E+00   39.685950
  -8.891  0.40886780E-14  0.16717288E-28  0.00000000E+00   39.524132
  -8.873  0.47754530E-14  0.22804952E-28  0.00000000E+00   39.362645
  -8.855  0.55756690E-14  0.31088085E-28  0.00000000E+00   39.201488
  -8.836  0.65077389E-14  0.42350665E-28  0.00000000E+00   39.040661
  -8.818  0.75930095E-14  0.57653793E-28  0.00000000E+00   38.880165
  -8.800  0.88562209E-14  0.78432649E-28  0.00000000E+00   38.720000
  -8.782  0.10326035E-13  0.10662699E-27  0.00000000E+00   38.560165
  -8.764  0.12035644E-13  0.14485674E-27  0.00000000E+00   38.400661
  -8.745  0.14023477E-13  0.19665791E-27  0.00000000E+00   38.241488
  -8.727  0.16334003E-13  0.26679967E-27  0.00000000E+00   38.082645
  -8.709  0.19018669E-13  0.36170977E-27  0.00000000E+00   37.924132
  -8.691  0.22136967E-13  0.49004531E-27  0.00000000E+00   37.765950
  -8.673  0.25757672E-13  0.66345768E-27  0.00000000E+00   37.608099
  -8.655  0.29960260E-13  0.89761716E-27  0.00000000E+00   37.450579
  -8.636  0.34836537E-13  0.12135843E-26  0.00000000E+00   37.293388
  -8.618  0.40492519E-13  0.16396441E-26  0.00000000E+00   37.136529
  -8.600  0.47050583E-13  0.22137573E-26  0.00000000E+00   36.980000
  -8.582  0.54651939E-13  0.29868345E-26  0.00000000E+00   36.823802
  -8.564  0.63459476E-13  0.40271051E-26  0.00000000E+00   36.667934
  -8.545  0.73661015E-13  0.54259452E-26  0.00000000E+00   36.512397
  -8.527  0.85473050E-13  0.73056422E-26  0.00000000E+00   36.357190
  -8.509  0.99145031E-13  0.98297372E-26  0.00000000E+00   36.202314
