#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.19284939E-19  0.37190889E-39  0.00000000E+00   50.000000
  -9.994  0.38644537E-19  0.14934002E-38  0.00000000E+00   49.935505
  -9.987  0.58153550E-19  0.33818353E-38  0.00000000E+00   49.871051
  -9.981  0.77887103E-19  0.60664009E-38  0.00000000E+00   49.806639
  -9.974  0.97920981E-19  0.95885185E-38  0.00000000E+00   49.742268
  -9.968  0.11833191E-18  0.14002441E-37  0.00000000E+00   49.677940
  -9.961  0.13919785E-18  0.19376042E-37  0.00000000E+00   49.613652
  -9.955  0.16059830E-18  0.25791814E-37  0.00000000E+00   49.549407
  -9.948  0.18261457E-18  0.33348083E-37  0.00000000E+00   49.485203
  -9.942  0.20533012E-18  0.42160458E-37  0.00000000E+00   49.421041
  -9.935  0.22883083E-18  0.52363547E-37  0.00000000E+00   49.356920
  -9.929  0.25320534E-18  0.64112943E-37  0.00000000E+00   49.292841
  -9.923  0.27854538E-18  0.77587527E-37  0.00000000E+00   49.228803
  -9.916  0.30494609E-18  0.92992116E-37  0.00000000E+00   49.164807
  -9.910  0.33250638E-18  0.11056049E-36  0.00000000E+00   49.100853
  -9.903  0.36132928E-18  0.13055885E-36  0.00000000E+00   49.036941
  -9.897  0.39152231E-18  0.15328972E-36  0.00000000E+00   48.973070
  -9.890  0.42319788E-18  0.17909645E-36  0.00000000E+00   48.909240
  -9.884  0.45647369E-18  0.20836823E-36  0.00000000E+00   48.845453
  -9.877  0.49147313E-18  0.24154584E-36  0.00000000E+00   48.781707
  -9.871  0.52832576E-18  0.27912810E-36  0.00000000E+00   48.718002
  -9.865  0.56716772E-18  0.32167922E-36  0.00000000E+00   48.654339
  -9.858  0.60814228E-18  0.36983703E-36  0.00000000E+00   48.590718
  -9.852  0.65140026E-18  0.42432230E-36  0.00000000E+00   48.527138
  -9.845  0.69710065E-18  0.48594932E-36  0.00000000E+00   48.463600
  -9.839  0.74541111E-18  0.55563773E-36  0.00000000E+00   48.400104
  -9.832  0.79650858E-18  0.63442592E-36  0.00000000E+00   48.336649
  -9.826  0.85057990E-18  0.72348617E-36  0.00000000E+00   48.273236
  -9.819  0.90782246E-18  0.82414162E-36  0.00000000E+00   48.209865
  -9.813  0.96844488E-18  0.93788549E-36  0.00000000E+00   48.146535
  -9.806  0.10326678E-17  0.10664027E-35  0.00000000E+00   48.083247
  -9.800  0.11007244E-17  0.12115942E-35  0.00000000E+00   48.020000
  -9.794  0.11728617E-17  0.13756046E-35  0.00000000E+00   47.956795
  -9.787  0.12493409E-17  0.15608527E-35  0.00000000E+00   47.893632
  -9.781  0.13304385E-17  0.17700667E-35  0.00000000E+00   47.830510
  -9.774  0.14164474E-17  0.20063233E-35  0.00000000E+00   47.767430
  -9.768  0.15076776E-17  0.22730917E-35  0.00000000E+00   47.704391
  -9.761  0.16044575E-17  0.25742837E-35  0.00000000E+00   47.641394
  -9.755  0.17071348E-17  0.29143092E-35  0.00000000E+00   47.578439
  -9.748  0.18160781E-17  0.32981397E-35  0.00000000E+00   47.515525
  -9.742  0.19316777E-17  0.37313789E-35  0.00000000E+00   47.452653
  -9.735  0.20543472E-17  0.42203426E-35  0.00000000E+00   47.389823
  -9.729  0.21845249E-17  0.47721489E-35  0.00000000E+00   47.327034
  -9.723  0.23226749E-17  0.53948188E-35  0.00000000E+00   47.264287
  -9.716  0.24692895E-17  0.60973906E-35  0.00000000E+00   47.201582
  -9.710  0.26248899E-17  0.68900472E-35  0.00000000E+00   47.138918
  -9.703  0.27900288E-17  0.77842608E-35  0.00000000E+00   47.076296
  -9.697  0.29652917E-17  0.87929547E-35  0.00000000E+00   47.013715
  -9.690  0.31512990E-17  0.99306855E-35  0.00000000E+00   46.951176
  -9.684  0.33487084E-17  0.11213848E-34  0.00000000E+00   46.888678
  -9.677  0.35582166E-17  0.12660906E-34  0.00000000E+00   46.826223
  -9.671  0.37805622E-17  0.14292651E-34  0.00000000E+00   46.763809
  -9.665  0.40165276E-17  0.16132494E-34  0.00000000E+00   46.701436
  -9.658  0.42669421E-17  0.18206795E-34  0.00000000E+00   46.639105
  -9.652  0.45326844E-17  0.20545227E-34  0.00000000E+00   46.576816
  -9.645  0.48146854E-17  0.23181196E-34  0.00000000E+00   46.514568
  -9.639  0.51139319E-17  0.26152300E-34  0.00000000E+00   46.452362
  -9.632  0.54314692E-17  0.29500857E-34  0.00000000E+00   46.390198
  -9.626  0.57684048E-17  0.33274494E-34  0.00000000E+00   46.328075
  -9.619  0.61259123E-17  0.37526802E-34  0.00000000E+00   46.265994
  -9.613  0.65052350E-17  0.42318082E-34  0.00000000E+00   46.203954
  -9.606  0.69076901E-17  0.47716182E-34  0.00000000E+00   46.141956
  -9.600  0.73346730E-17  0.53797427E-34  0.00000000E+00   46.080000
  -9.594  0.77876620E-17  0.60647679E-34  0.00000000E+00   46.018085
  -9.587  0.82682230E-17  0.68363512E-34  0.00000000E+00   45.956212
  -9.581  0.87780150E-17  0.77053547E-34  0.00000000E+00   45.894381
  -9.574  0.93187949E-17  0.86839939E-34  0.00000000E+00   45.832591
  -9.568  0.98924239E-17  0.97860051E-34  0.00000000E+00   45.770843
  -9.561  0.10500873E-16  0.11026834E-33  0.00000000E+00   45.709136
  -9.555  0.11146230E-16  0.12423845E-33  0.00000000E+00   45.647471
  -9.548  0.11830706E-16  0.13996561E-33  0.00000000E+00   45.585848
  -9.542  0.12556643E-16  0.15766928E-33  0.00000000E+00   45.524266
  -9.535  0.13326519E-16  0.17759612E-33  0.00000000E+00   45.462726
  -9.529  0.14142962E-16  0.20002337E-33  0.00000000E+00   45.401228
  -9.523  0.15008751E-16  0.22526260E-33  0.00000000E+00   45.339771
  -9.516  0.15926830E-16  0.25366390E-33  0.00000000E+00   45.278356
  -9.510  0.16900316E-16  0.28562068E-33  0.00000000E+00   45.216982
  -9.503  0.17932510E-16  0.32157490E-33  0.00000000E+00   45.155650
