#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.35319642E-19  0.12474771E-38  0.00000000E+00   50.000000
  -9.988  0.71152914E-19  0.50627372E-38  0.00000000E+00   49.875078
  -9.975  0.10801836E-18  0.11667966E-37  0.00000000E+00   49.750313
  -9.963  0.14644666E-18  0.21446624E-37  0.00000000E+00   49.625703
  -9.950  0.18698817E-18  0.34964575E-37  0.00000000E+00   49.501250
  -9.938  0.23022066E-18  0.53001552E-37  0.00000000E+00   49.376953
  -9.925  0.27675738E-18  0.76594648E-37  0.00000000E+00   49.252813
  -9.913  0.32725552E-18  0.10709618E-36  0.00000000E+00   49.128828
  -9.900  0.38242522E-18  0.14624905E-36  0.00000000E+00   49.005000
  -9.888  0.44303921E-18  0.19628374E-36  0.00000000E+00   48.881328
  -9.875  0.50994326E-18  0.26004213E-36  0.00000000E+00   48.757812
  -9.863  0.58406754E-18  0.34113489E-36  0.00000000E+00   48.634453
  -9.850  0.66643901E-18  0.44414095E-36  0.00000000E+00   48.511250
  -9.838  0.75819507E-18  0.57485976E-36  0.00000000E+00   48.388203
  -9.825  0.86059860E-18  0.74062995E-36  0.00000000E+00   48.265313
  -9.812  0.97505455E-18  0.95073138E-36  0.00000000E+00   48.142578
  -9.800  0.11031284E-17  0.12168922E-35  0.00000000E+00   48.020000
  -9.788  0.12465664E-17  0.15539279E-35  0.00000000E+00   47.897578
  -9.775  0.14073187E-17  0.19805460E-35  0.00000000E+00   47.775313
  -9.763  0.15875642E-17  0.25203600E-35  0.00000000E+00   47.653203
  -9.750  0.17897386E-17  0.32031643E-35  0.00000000E+00   47.531250
  -9.738  0.20165664E-17  0.40665401E-35  0.00000000E+00   47.409453
  -9.725  0.22710951E-17  0.51578729E-35  0.00000000E+00   47.287813
  -9.713  0.25567346E-17  0.65368916E-35  0.00000000E+00   47.166328
  -9.700  0.28773004E-17  0.82788574E-35  0.00000000E+00   47.045000
  -9.688  0.32370623E-17  0.10478572E-34  0.00000000E+00   46.923828
  -9.675  0.36407983E-17  0.13255413E-34  0.00000000E+00   46.802813
  -9.663  0.40938551E-17  0.16759650E-34  0.00000000E+00   46.681953
  -9.650  0.46022151E-17  0.21180384E-34  0.00000000E+00   46.561250
  -9.638  0.51725717E-17  0.26755497E-34  0.00000000E+00   46.440703
  -9.625  0.58124128E-17  0.33784142E-34  0.00000000E+00   46.320312
  -9.613  0.65301145E-17  0.42642395E-34  0.00000000E+00   46.200078
  -9.600  0.73350449E-17  0.53802883E-34  0.00000000E+00   46.080000
  -9.588  0.82376804E-17  0.67859378E-34  0.00000000E+00   45.960078
  -9.575  0.92497349E-17  0.85557596E-34  0.00000000E+00   45.840313
  -9.562  0.10384304E-16  0.10783378E-33  0.00000000E+00   45.720703
  -9.550  0.11656028E-16  0.13586298E-33  0.00000000E+00   45.601250
  -9.537  0.13081265E-16  0.17111950E-33  0.00000000E+00   45.481953
  -9.525  0.14678299E-16  0.21545247E-33  0.00000000E+00   45.362813
  -9.513  0.16467556E-16  0.27118040E-33  0.00000000E+00   45.243828
  -9.500  0.18471853E-16  0.34120937E-33  0.00000000E+00   45.125000
  -9.488  0.20716677E-16  0.42918071E-33  0.00000000E+00   45.006328
  -9.475  0.23230488E-16  0.53965556E-33  0.00000000E+00   44.887812
  -9.463  0.26045062E-16  0.67834526E-33  0.00000000E+00   44.769453
  -9.450  0.29195876E-16  0.85239915E-33  0.00000000E+00   44.651250
  -9.438  0.32722524E-16  0.10707636E-32  0.00000000E+00   44.533203
  -9.425  0.36669195E-16  0.13446299E-32  0.00000000E+00   44.415313
  -9.412  0.41085196E-16  0.16879933E-32  0.00000000E+00   44.297578
  -9.400  0.46025530E-16  0.21183494E-32  0.00000000E+00   44.180000
  -9.388  0.51551553E-16  0.26575626E-32  0.00000000E+00   44.062578
  -9.375  0.57731690E-16  0.33329480E-32  0.00000000E+00   43.945312
  -9.363  0.64642237E-16  0.41786188E-32  0.00000000E+00   43.828203
  -9.350  0.72368255E-16  0.52371643E-32  0.00000000E+00   43.711250
  -9.338  0.81004558E-16  0.65617384E-32  0.00000000E+00   43.594453
  -9.325  0.90656816E-16  0.82186582E-32  0.00000000E+00   43.477813
  -9.312  0.10144277E-15  0.10290637E-31  0.00000000E+00   43.361328
  -9.300  0.11349362E-15  0.12880801E-31  0.00000000E+00   43.245000
  -9.287  0.12695547E-15  0.16117692E-31  0.00000000E+00   43.128828
  -9.275  0.14199108E-15  0.20161468E-31  0.00000000E+00   43.012813
  -9.263  0.15878168E-15  0.25211622E-31  0.00000000E+00   42.896953
  -9.250  0.17752903E-15  0.31516555E-31  0.00000000E+00   42.781250
  -9.238  0.19845773E-15  0.39385469E-31  0.00000000E+00   42.665703
  -9.225  0.22181776E-15  0.49203117E-31  0.00000000E+00   42.550312
  -9.213  0.24788729E-15  0.61448108E-31  0.00000000E+00   42.435078
  -9.200  0.27697582E-15  0.76715603E-31  0.00000000E+00   42.320000
  -9.188  0.30942763E-15  0.95745458E-31  0.00000000E+00   42.205078
  -9.175  0.34562565E-15  0.11945709E-30  0.00000000E+00   42.090313
  -9.162  0.38599570E-15  0.14899268E-30  0.00000000E+00   41.975703
  -9.150  0.43101124E-15  0.18577069E-30  0.00000000E+00   41.861250
  -9.138  0.48119858E-15  0.23155208E-30  0.00000000E+00   41.746953
  -9.125  0.53714272E-15  0.28852230E-30  0.00000000E+00   41.632812
  -9.113  0.59949375E-15  0.35939275E-30  0.00000000E+00   41.518828
  -9.100  0.66897396E-15  0.44752616E-30  0.00000000E+00   41.405000
  -9.088  0.74638579E-15  0.55709174E-30  0.00000000E+00   41.291328
  -9.075  0.83262048E-15  0.69325687E-30  0.00000000E+00   41.177813
  -9.062  0.92866782E-15  0.86242392E-30  0.00000000E+00   41.064453
  -9.050  0.10356268E-14  0.10725228E-29  0.00000000E+00   40.951250
  -9.037  0.11547174E-14  0.13333723E-29  0.00000000E+00   40.838203
  -9.025  0.12872939E-14  0.16571255E-29  0.00000000E+00   40.725313
  -9.013  0.14348590E-14  0.20588205E-29  0.00000000E+00   40.612578
  -9.000  0.15990805E-14  0.25570583E-29  0.00000000E+00   40.500000
  -8.988  0.17818081E-14  0.31748400E-29  0.00000000E+00   40.387578
  -8.975  0.19850939E-14  0.39405978E-29  0.00000000E+00   40.275312
  -8.963  0.22112137E-14  0.48894658E-29  0.00000000E+00   40.163203
  -8.950  0.24626907E-14  0.60648454E-29  0.00000000E+00   40.051250
  -8.938  0.27423225E-14  0.75203328E-29  0.00000000E+00   39.939453
  -8.925  0.30532101E-14  0.93220916E-29  0.00000000E+00   39.827813
  -8.912  0.33987900E-14  0.11551773E-28  0.00000000E+00   39.716328
  -8.900  0.37828703E-14  0.14310107E-28  0.00000000E+00   39.605000
  -8.888  0.42096699E-14  0.17721320E-28  0.00000000E+00   39.493828
  -8.875  0.46838620E-14  0.21938563E-28  0.00000000E+00   39.382812
  -8.863  0.52106224E-14  0.27150586E-28  0.00000000E+00   39.271953
  -8.850  0.57956821E-14  0.33589931E-28  0.00000000E+00   39.161250
  -8.838  0.64453863E-14  0.41543005E-28  0.00000000E+00   39.050703
  -8.825  0.71667587E-14  0.51362430E-28  0.00000000E+00   38.940313
  -8.812  0.79675726E-14  0.63482214E-28  0.00000000E+00   38.830078
  -8.800  0.88564301E-14  0.78436354E-28  0.00000000E+00   38.720000
  -8.787  0.98428478E-14  0.96881654E-28  0.00000000E+00   38.610078
  -8.775  0.10937353E-13  0.11962570E-27  0.00000000E+00   38.500312
  -8.763  0.12151590E-13  0.14766114E-27  0.00000000E+00   38.390703
  -8.750  0.13498433E-13  0.18220769E-27  0.00000000E+00   38.281250
  -8.738  0.14992118E-13  0.22476359E-27  0.00000000E+00   38.171953
  -8.725  0.16648379E-13  0.27716854E-27  0.00000000E+00   38.062812
  -8.713  0.18484611E-13  0.34168084E-27  0.00000000E+00   37.953828
  -8.700  0.20520031E-13  0.42107167E-27  0.00000000E+00   37.845000
  -8.688  0.22775874E-13  0.51874043E-27  0.00000000E+00   37.736328
  -8.675  0.25275597E-13  0.63885580E-27  0.00000000E+00   37.627813
  -8.662  0.28045108E-13  0.78652809E-27  0.00000000E+00   37.519453
  -8.650  0.31113017E-13  0.96801985E-27  0.00000000E+00   37.411250
  -8.638  0.34510913E-13  0.11910031E-26  0.00000000E+00   37.303203
  -8.625  0.38273667E-13  0.14648736E-26  0.00000000E+00   37.195312
  -8.613  0.42439766E-13  0.18011338E-26  0.00000000E+00   37.087578
  -8.600  0.47051684E-13  0.22138610E-26  0.00000000E+00   36.980000
  -8.588  0.52156284E-13  0.27202780E-26  0.00000000E+00   36.872578
  -8.575  0.57805262E-13  0.33414483E-26  0.00000000E+00   36.765313
  -8.562  0.64055638E-13  0.41031247E-26  0.00000000E+00   36.658203
  -8.550  0.70970292E-13  0.50367824E-26  0.00000000E+00   36.551250
  -8.537  0.78618557E-13  0.61808774E-26  0.00000000E+00   36.444453
  -8.525  0.87076862E-13  0.75823798E-26  0.00000000E+00   36.337813
  -8.513  0.96429450E-13  0.92986388E-26  0.00000000E+00   36.231328
  -8.500  0.10676916E-12  0.11399653E-25  0.00000000E+00   36.125000
  -8.488  0.11819828E-12  0.13970834E-25  0.00000000E+00   36.018828
  -8.475  0.13082950E-12  0.17116359E-25  0.00000000E+00   35.912812
  -8.463  0.14478695E-12  0.20963260E-25  0.00000000E+00   35.806953
  -8.450  0.16020730E-12  0.25666378E-25  0.00000000E+00   35.701250
  -8.438  0.17724107E-12  0.31414395E-25  0.00000000E+00   35.595703
  -8.425  0.19605394E-12  0.38437146E-25  0.00000000E+00   35.490313
  -8.412  0.21682828E-12  0.47014504E-25  0.00000000E+00   35.385078
  -8.400  0.23976480E-12  0.57487160E-25  0.00000000E+00   35.280000
  -8.388  0.26508433E-12  0.70269702E-25  0.00000000E+00   35.175078
  -8.375  0.29302981E-12  0.85866471E-25  0.00000000E+00   35.070312
  -8.363  0.32386847E-12  0.10489078E-24  0.00000000E+00   34.965703
  -8.350  0.35789417E-12  0.12808824E-24  0.00000000E+00   34.861250
  -8.338  0.39543006E-12  0.15636493E-24  0.00000000E+00   34.756953
  -8.325  0.43683136E-12  0.19082164E-24  0.00000000E+00   34.652813
  -8.312  0.48248855E-12  0.23279521E-24  0.00000000E+00   34.548828
  -8.300  0.53283075E-12  0.28390861E-24  0.00000000E+00   34.445000
  -8.287  0.58832947E-12  0.34613157E-24  0.00000000E+00   34.341328
  -8.275  0.64950271E-12  0.42185377E-24  0.00000000E+00   34.237813
  -8.263  0.71691946E-12  0.51397351E-24  0.00000000E+00   34.134453
  -8.250  0.79120457E-12  0.62600467E-24  0.00000000E+00   34.031250
  -8.238  0.87304418E-12  0.76220614E-24  0.00000000E+00   33.928203
  -8.225  0.96319154E-12  0.92773795E-24  0.00000000E+00   33.825312
  -8.213  0.10624735E-11  0.11288499E-23  0.00000000E+00   33.722578
  -8.200  0.11717973E-11  0.13731090E-23  0.00000000E+00   33.620000
  -8.188  0.12921588E-11  0.16696744E-23  0.00000000E+00   33.517578
  -8.175  0.14246502E-11  0.20296283E-23  0.00000000E+00   33.415313
  -8.162  0.15704697E-11  0.24663750E-23  0.00000000E+00   33.313203
  -8.150  0.17309312E-11  0.29961228E-23  0.00000000E+00   33.211250
  -8.138  0.19074756E-11  0.36384631E-23  0.00000000E+00   33.109453
  -8.125  0.21016824E-11  0.44170690E-23  0.00000000E+00   33.007812
  -8.113  0.23152831E-11  0.53605360E-23  0.00000000E+00   32.906328
  -8.100  0.25501753E-11  0.65033938E-23  0.00000000E+00   32.805000
  -8.088  0.28084380E-11  0.78873239E-23  0.00000000E+00   32.703828
  -8.075  0.30923492E-11  0.95626234E-23  0.00000000E+00   32.602813
  -8.062  0.34044040E-11  0.11589966E-22  0.00000000E+00   32.501953
  -8.050  0.37473349E-11  0.14042519E-22  0.00000000E+00   32.401250
  -8.037  0.41241341E-11  0.17008482E-22  0.00000000E+00   32.300703
  -8.025  0.45380772E-11  0.20594145E-22  0.00000000E+00   32.200313
  -8.013  0.49927500E-11  0.24927552E-22  0.00000000E+00   32.100078
  -8.000  0.54920764E-11  0.30162903E-22  0.00000000E+00   32.000000
  -7.988  0.60403502E-11  0.36485831E-22  0.00000000E+00   31.900078
  -7.975  0.66422692E-11  0.44119740E-22  0.00000000E+00   31.800313
  -7.963  0.73029715E-11  0.53333393E-22  0.00000000E+00   31.700703
  -7.950  0.80280767E-11  0.64450015E-22  0.00000000E+00   31.601250
  -7.938  0.88237294E-11  0.77858200E-22  0.00000000E+00   31.501953
  -7.925  0.96966472E-11  0.94024968E-22  0.00000000E+00   31.402813
  -7.913  0.10654173E-10  0.11351141E-21  0.00000000E+00   31.303828
  -7.900  0.11704332E-10  0.13699139E-21  0.00000000E+00   31.205000
  -7.888  0.12855893E-10  0.16527398E-21  0.00000000E+00   31.106328
  -7.875  0.14118434E-10  0.19933019E-21  0.00000000E+00   31.007812
  -7.863  0.15502422E-10  0.24032507E-21  0.00000000E+00   30.909453
  -7.850  0.17019282E-10  0.28965594E-21  0.00000000E+00   30.811250
  -7.838  0.18681493E-10  0.34899817E-21  0.00000000E+00   30.713203
  -7.825  0.20502678E-10  0.42035979E-21  0.00000000E+00   30.615313
  -7.812  0.22497706E-10  0.50614678E-21  0.00000000E+00   30.517578
  -7.800  0.24682806E-10  0.60924092E-21  0.00000000E+00   30.420000
  -7.788  0.27075685E-10  0.73309270E-21  0.00000000E+00   30.322578
  -7.775  0.29695659E-10  0.88183219E-21  0.00000000E+00   30.225313
  -7.763  0.32563802E-10  0.10604012E-20  0.00000000E+00   30.128203
  -7.750  0.35703091E-10  0.12747107E-20  0.00000000E+00   30.031250
  -7.738  0.39138583E-10  0.15318287E-20  0.00000000E+00   29.934453
  -7.725  0.42897596E-10  0.18402037E-20  0.00000000E+00   29.837813
  -7.713  0.47009903E-10  0.22099310E-20  0.00000000E+00   29.741328
  -7.700  0.51507954E-10  0.26530694E-20  0.00000000E+00   29.645000
  -7.688  0.56427105E-10  0.31840182E-20  0.00000000E+00   29.548828
  -7.675  0.61805874E-10  0.38199661E-20  0.00000000E+00   29.452813
  -7.663  0.67686217E-10  0.45814239E-20  0.00000000E+00   29.356953
  -7.650  0.74113823E-10  0.54928587E-20  0.00000000E+00   29.261250
  -7.638  0.81138442E-10  0.65834468E-20  0.00000000E+00   29.165703
  -7.625  0.88814235E-10  0.78879684E-20  0.00000000E+00   29.070312
  -7.613  0.97200153E-10  0.94478697E-20  0.00000000E+00   28.975078
  -7.600  0.10636035E-09  0.11312524E-19  0.00000000E+00   28.880000
  -7.588  0.11636463E-09  0.13540727E-19  0.00000000E+00   28.785078
  -7.575  0.12728893E-09  0.16202471E-19  0.00000000E+00   28.690313
  -7.562  0.13921585E-09  0.19381052E-19  0.00000000E+00   28.595703
  -7.550  0.15223521E-09  0.23175558E-19  0.00000000E+00   28.501250
  -7.538  0.16644468E-09  0.27703830E-19  0.00000000E+00   28.406953
  -7.525  0.18195042E-09  0.33105957E-19  0.00000000E+00   28.312813
  -7.513  0.19886785E-09  0.39548422E-19  0.00000000E+00   28.218828
  -7.500  0.21732237E-09  0.47229011E-19  0.00000000E+00   28.125000
  -7.488  0.23745023E-09  0.56382611E-19  0.00000000E+00   28.031328
  -7.475  0.25939946E-09  0.67288079E-19  0.00000000E+00   27.937813
  -7.463  0.28333083E-09  0.80276359E-19  0.00000000E+00   27.844453
  -7.450  0.30941893E-09  0.95740074E-19  0.00000000E+00   27.751250
  -7.438  0.33785332E-09  0.11414487E-18  0.00000000E+00   27.658203
  -7.425  0.36883978E-09  0.13604278E-18  0.00000000E+00   27.565313
  -7.413  0.40260166E-09  0.16208809E-18  0.00000000E+00   27.472578
  -7.400  0.43938132E-09  0.19305594E-18  0.00000000E+00   27.380000
  -7.388  0.47944172E-09  0.22986436E-18  0.00000000E+00   27.287578
  -7.375  0.52306813E-09  0.27360027E-18  0.00000000E+00   27.195312
  -7.363  0.57056992E-09  0.32555004E-18  0.00000000E+00   27.103203
  -7.350  0.62228260E-09  0.38723564E-18  0.00000000E+00   27.011250
  -7.338  0.67856991E-09  0.46045713E-18  0.00000000E+00   26.919453
  -7.325  0.73982615E-09  0.54734273E-18  0.00000000E+00   26.827813
  -7.312  0.80647866E-09  0.65040783E-18  0.00000000E+00   26.736328
  -7.300  0.87899053E-09  0.77262435E-18  0.00000000E+00   26.645000
  -7.288  0.95786346E-09  0.91750240E-18  0.00000000E+00   26.553828
  -7.275  0.10436409E-08  0.10891864E-17  0.00000000E+00   26.462813
  -7.263  0.11369115E-08  0.12925677E-17  0.00000000E+00   26.371953
  -7.250  0.12383125E-08  0.15334179E-17  0.00000000E+00   26.281250
  -7.238  0.13485340E-08  0.18185440E-17  0.00000000E+00   26.190703
  -7.225  0.14683229E-08  0.21559721E-17  0.00000000E+00   26.100313
  -7.213  0.15984875E-08  0.25551623E-17  0.00000000E+00   26.010078
  -7.200  0.17399025E-08  0.30272607E-17  0.00000000E+00   25.920000
  -7.188  0.18935141E-08  0.35853957E-17  0.00000000E+00   25.830078
  -7.175  0.20603459E-08  0.42450254E-17  0.00000000E+00   25.740313
  -7.163  0.22415049E-08  0.50243442E-17  0.00000000E+00   25.650703
  -7.150  0.24381879E-08  0.59447601E-17  0.00000000E+00   25.561250
  -7.138  0.26516888E-08  0.70314535E-17  0.00000000E+00   25.471953
  -7.125  0.28834063E-08  0.83140319E-17  0.00000000E+00   25.382812
  -7.113  0.31348518E-08  0.98272956E-17  0.00000000E+00   25.293828
  -7.100  0.34076583E-08  0.11612135E-16  0.00000000E+00   25.205000
  -7.088  0.37035902E-08  0.13716581E-16  0.00000000E+00   25.116328
  -7.075  0.40245530E-08  0.16197027E-16  0.00000000E+00   25.027812
  -7.062  0.43726044E-08  0.19119669E-16  0.00000000E+00   24.939453
  -7.050  0.47499663E-08  0.22562180E-16  0.00000000E+00   24.851250
  -7.038  0.51590371E-08  0.26615664E-16  0.00000000E+00   24.763203
  -7.025  0.56024056E-08  0.31386948E-16  0.00000000E+00   24.675313
  -7.013  0.60828652E-08  0.37001249E-16  0.00000000E+00   24.587578
  -7.000  0.66034299E-08  0.43605287E-16  0.00000000E+00   24.500000
  -6.988  0.71673510E-08  0.51370921E-16  0.00000000E+00   24.412578
  -6.975  0.77781350E-08  0.60499385E-16  0.00000000E+00   24.325313
  -6.963  0.84395631E-08  0.71226226E-16  0.00000000E+00   24.238203
  -6.950  0.91557120E-08  0.83827062E-16  0.00000000E+00   24.151250
  -6.938  0.99309760E-08  0.98624284E-16  0.00000000E+00   24.064453
  -6.925  0.10770091E-07  0.11599486E-15  0.00000000E+00   23.977813
  -6.913  0.11678160E-07  0.13637943E-15  0.00000000E+00   23.891328
  -6.900  0.12660682E-07  0.16029286E-15  0.00000000E+00   23.805000
  -6.888  0.13723577E-07  0.18833657E-15  0.00000000E+00   23.718828
  -6.875  0.14873224E-07  0.22121280E-15  0.00000000E+00   23.632812
  -6.863  0.16116490E-07  0.25974126E-15  0.00000000E+00   23.546953
  -6.850  0.17460768E-07  0.30487843E-15  0.00000000E+00   23.461250
  -6.838  0.18914015E-07  0.35773997E-15  0.00000000E+00   23.375703
  -6.825  0.20484795E-07  0.41962681E-15  0.00000000E+00   23.290313
  -6.812  0.22182320E-07  0.49205532E-15  0.00000000E+00   23.205078
  -6.800  0.24016503E-07  0.57679242E-15  0.00000000E+00   23.120000
  -6.788  0.25998005E-07  0.67589624E-15  0.00000000E+00   23.035078
  -6.775  0.28138289E-07  0.79176329E-15  0.00000000E+00   22.950313
  -6.763  0.30449681E-07  0.92718305E-15  0.00000000E+00   22.865703
  -6.750  0.32945430E-07  0.10854014E-14  0.00000000E+00   22.781250
  -6.738  0.35639778E-07  0.12701938E-14  0.00000000E+00   22.696953
  -6.725  0.38548026E-07  0.14859503E-14  0.00000000E+00   22.612813
  -6.713  0.41686614E-07  0.17377738E-14  0.00000000E+00   22.528828
  -6.700  0.45073200E-07  0.20315934E-14  0.00000000E+00   22.445000
  -6.688  0.48726752E-07  0.23742963E-14  0.00000000E+00   22.361328
  -6.675  0.52667632E-07  0.27738795E-14  0.00000000E+00   22.277813
  -6.663  0.56917704E-07  0.32396250E-14  0.00000000E+00   22.194453
  -6.650  0.61500433E-07  0.37823033E-14  0.00000000E+00   22.111250
  -6.638  0.66441004E-07  0.44144071E-14  0.00000000E+00   22.028203
  -6.625  0.71766438E-07  0.51504216E-14  0.00000000E+00   21.945312
  -6.613  0.77505720E-07  0.60071367E-14  0.00000000E+00   21.862578
  -6.600  0.83689943E-07  0.70040065E-14  0.00000000E+00   21.780000
  -6.588  0.90352446E-07  0.81635644E-14  0.00000000E+00   21.697578
  -6.575  0.97528975E-07  0.95119009E-14  0.00000000E+00   21.615313
  -6.562  0.10525785E-06  0.11079215E-13  0.00000000E+00   21.533203
  -6.550  0.11358014E-06  0.12900448E-13  0.00000000E+00   21.451250
  -6.538  0.12253985E-06  0.15016014E-13  0.00000000E+00   21.369453
  -6.525  0.13218412E-06  0.17472643E-13  0.00000000E+00   21.287813
  -6.513  0.14256347E-06  0.20324344E-13  0.00000000E+00   21.206328
  -6.500  0.15373198E-06  0.23633521E-13  0.00000000E+00   21.125000
  -6.488  0.16574755E-06  0.27472252E-13  0.00000000E+00   21.043828
  -6.475  0.17867220E-06  0.31923754E-13  0.00000000E+00   20.962813
  -6.463  0.19257227E-06  0.37084077E-13  0.00000000E+00   20.881953
  -6.450  0.20751878E-06  0.43064043E-13  0.00000000E+00   20.801250
  -6.438  0.22358771E-06  0.49991465E-13  0.00000000E+00   20.720703
  -6.425  0.24086035E-06  0.58013708E-13  0.00000000E+00   20.640313
  -6.413  0.25942363E-06  0.67300618E-13  0.00000000E+00   20.560078
  -6.400  0.27937050E-06  0.78047876E-13  0.00000000E+00   20.480000
  -6.388  0.30080036E-06  0.90480854E-13  0.00000000E+00   20.400078
  -6.375  0.32381943E-06  0.10485903E-12  0.00000000E+00   20.320312
  -6.363  0.34854127E-06  0.12148102E-12  0.00000000E+00   20.240703
  -6.350  0.37508719E-06  0.14069040E-12  0.00000000E+00   20.161250
  -6.338  0.40358679E-06  0.16288230E-12  0.00000000E+00   20.081953
  -6.325  0.43417851E-06  0.18851098E-12  0.00000000E+00   20.002813
  -6.312  0.46701018E-06  0.21809851E-12  0.00000000E+00   19.923828
  -6.300  0.50223965E-06  0.25224467E-12  0.00000000E+00   19.845000
  -6.288  0.54003542E-06  0.29163825E-12  0.00000000E+00   19.766328
  -6.275  0.58057732E-06  0.33707002E-12  0.00000000E+00   19.687813
  -6.263  0.62405726E-06  0.38944746E-12  0.00000000E+00   19.609453
  -6.250  0.67067998E-06  0.44981163E-12  0.00000000E+00   19.531250
  -6.238  0.72066386E-06  0.51935640E-12  0.00000000E+00   19.453203
  -6.225  0.77424182E-06  0.59945040E-12  0.00000000E+00   19.375313
  -6.213  0.83166220E-06  0.69166202E-12  0.00000000E+00   19.297578
  -6.200  0.89318974E-06  0.79778792E-12  0.00000000E+00   19.220000
  -6.188  0.95910664E-06  0.91988554E-12  0.00000000E+00   19.142578
  -6.175  0.10297136E-05  0.10603101E-11  0.00000000E+00   19.065313
  -6.163  0.11053310E-05  0.12217566E-11  0.00000000E+00   18.988203
  -6.150  0.11863001E-05  0.14073080E-11  0.00000000E+00   18.911250
  -6.138  0.12729845E-05  0.16204894E-11  0.00000000E+00   18.834453
  -6.125  0.13657711E-05  0.18653306E-11  0.00000000E+00   18.757812
  -6.113  0.14650720E-05  0.21464360E-11  0.00000000E+00   18.681328
  -6.100  0.15713258E-05  0.24690649E-11  0.00000000E+00   18.605000
  -6.088  0.16849993E-05  0.28392227E-11  0.00000000E+00   18.528828
  -6.075  0.18065891E-05  0.32637641E-11  0.00000000E+00   18.452813
  -6.062  0.19366234E-05  0.37505103E-11  0.00000000E+00   18.376953
  -6.050  0.20756642E-05  0.43083819E-11  0.00000000E+00   18.301250
  -6.038  0.22243089E-05  0.49475501E-11  0.00000000E+00   18.225703
  -6.025  0.23831928E-05  0.56796077E-11  0.00000000E+00   18.150313
  -6.013  0.25529910E-05  0.65177628E-11  0.00000000E+00   18.075078
  -6.000  0.27344211E-05  0.74770585E-11  0.00000000E+00   18.000000
  -5.988  0.29282455E-05  0.85746217E-11  0.00000000E+00   17.925078
  -5.975  0.31352742E-05  0.98299445E-11  0.00000000E+00   17.850313
  -5.963  0.33563675E-05  0.11265203E-10  0.00000000E+00   17.775703
  -5.950  0.35924387E-05  0.12905616E-10  0.00000000E+00   17.701250
  -5.938  0.38444579E-05  0.14779856E-10  0.00000000E+00   17.626953
  -5.925  0.41134543E-05  0.16920507E-10  0.00000000E+00   17.552813
  -5.913  0.44005207E-05  0.19364582E-10  0.00000000E+00   17.478828
  -5.900  0.47068161E-05  0.22154118E-10  0.00000000E+00   17.405000
  -5.888  0.50335703E-05  0.25336830E-10  0.00000000E+00   17.331328
  -5.875  0.53820878E-05  0.28966869E-10  0.00000000E+00   17.257812
  -5.863  0.57537516E-05  0.33105657E-10  0.00000000E+00   17.184453
  -5.850  0.61500280E-05  0.37822844E-10  0.00000000E+00   17.111250
  -5.838  0.65724715E-05  0.43197382E-10  0.00000000E+00   17.038203
  -5.825  0.70227294E-05  0.49318728E-10  0.00000000E+00   16.965312
  -5.812  0.75025469E-05  0.56288211E-10  0.00000000E+00   16.892578
  -5.800  0.80137732E-05  0.64220562E-10  0.00000000E+00   16.820000
  -5.788  0.85583666E-05  0.73245639E-10  0.00000000E+00   16.747578
  -5.775  0.91384007E-05  0.83510367E-10  0.00000000E+00   16.675313
  -5.763  0.97560710E-05  0.95180921E-10  0.00000000E+00   16.603203
  -5.750  0.10413701E-04  0.10844518E-09  0.00000000E+00   16.531250
  -5.738  0.11113751E-04  0.12351547E-09  0.00000000E+00   16.459453
  -5.725  0.11858822E-04  0.14063167E-09  0.00000000E+00   16.387813
  -5.713  0.12651668E-04  0.16006470E-09  0.00000000E+00   16.316328
  -5.700  0.13495198E-04  0.18212038E-09  0.00000000E+00   16.245000
  -5.688  0.14392493E-04  0.20714385E-09  0.00000000E+00   16.173828
  -5.675  0.15346805E-04  0.23552443E-09  0.00000000E+00   16.102813
  -5.663  0.16361576E-04  0.26770116E-09  0.00000000E+00   16.031953
  -5.650  0.17440439E-04  0.30416892E-09  0.00000000E+00   15.961250
  -5.638  0.18587237E-04  0.34548537E-09  0.00000000E+00   15.890703
