#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.24474430E-19  0.59899775E-39  0.00000000E+00   50.000000
  -9.992  0.49106963E-19  0.24114938E-38  0.00000000E+00   49.916701
  -9.983  0.74056199E-19  0.54843206E-38  0.00000000E+00   49.833472
  -9.975  0.99482209E-19  0.98967099E-38  0.00000000E+00   49.750312
  -9.967  0.12554755E-18  0.15762188E-37  0.00000000E+00   49.667222
  -9.958  0.15241830E-18  0.23231338E-37  0.00000000E+00   49.584201
  -9.950  0.18026508E-18  0.32495500E-37  0.00000000E+00   49.501250
  -9.942  0.20926415E-18  0.43791484E-37  0.00000000E+00   49.418368
  -9.933  0.23959846E-18  0.57407424E-37  0.00000000E+00   49.335556
  -9.925  0.27145882E-18  0.73689893E-37  0.00000000E+00   49.252813
  -9.917  0.30504504E-18  0.93052475E-37  0.00000000E+00   49.170139
  -9.908  0.34056713E-18  0.11598597E-36  0.00000000E+00   49.087535
  -9.900  0.37824664E-18  0.14307052E-36  0.00000000E+00   49.005000
  -9.892  0.41831790E-18  0.17498986E-36  0.00000000E+00   48.922535
  -9.883  0.46102950E-18  0.21254820E-36  0.00000000E+00   48.840139
  -9.875  0.50664577E-18  0.25668993E-36  0.00000000E+00   48.757812
  -9.867  0.55544829E-18  0.30852280E-36  0.00000000E+00   48.675556
  -9.858  0.60773763E-18  0.36934503E-36  0.00000000E+00   48.593368
  -9.850  0.66383511E-18  0.44067705E-36  0.00000000E+00   48.511250
  -9.842  0.72408465E-18  0.52429858E-36  0.00000000E+00   48.429201
  -9.833  0.78885483E-18  0.62229194E-36  0.00000000E+00   48.347222
  -9.825  0.85854104E-18  0.73709272E-36  0.00000000E+00   48.265312
  -9.817  0.93356779E-18  0.87154881E-36  0.00000000E+00   48.183472
  -9.808  0.10143911E-17  0.10289894E-35  0.00000000E+00   48.101701
  -9.800  0.11015014E-17  0.12133054E-35  0.00000000E+00   48.020000
  -9.792  0.11954260E-17  0.14290433E-35  0.00000000E+00   47.938368
  -9.783  0.12967323E-17  0.16815148E-35  0.00000000E+00   47.856806
  -9.775  0.14060313E-17  0.19769241E-35  0.00000000E+00   47.775313
  -9.767  0.15239807E-17  0.23225173E-35  0.00000000E+00   47.693889
  -9.758  0.16512890E-17  0.27267553E-35  0.00000000E+00   47.612535
  -9.750  0.17887191E-17  0.31995161E-35  0.00000000E+00   47.531250
  -9.742  0.19370934E-17  0.37523310E-35  0.00000000E+00   47.450035
  -9.733  0.20972978E-17  0.43986582E-35  0.00000000E+00   47.368889
  -9.725  0.22702871E-17  0.51542033E-35  0.00000000E+00   47.287812
  -9.717  0.24570900E-17  0.60372913E-35  0.00000000E+00   47.206806
  -9.708  0.26588157E-17  0.70693007E-35  0.00000000E+00   47.125868
  -9.700  0.28766592E-17  0.82751682E-35  0.00000000E+00   47.045000
  -9.692  0.31119089E-17  0.96839772E-35  0.00000000E+00   46.964201
  -9.683  0.33659533E-17  0.11329642E-34  0.00000000E+00   46.883472
  -9.675  0.36402889E-17  0.13251703E-34  0.00000000E+00   46.802813
  -9.667  0.39365286E-17  0.15496258E-34  0.00000000E+00   46.722222
  -9.658  0.42564110E-17  0.18117034E-34  0.00000000E+00   46.641701
  -9.650  0.46018095E-17  0.21176650E-34  0.00000000E+00   46.561250
  -9.642  0.49747432E-17  0.24748070E-34  0.00000000E+00   46.480868
  -9.633  0.53773881E-17  0.28916303E-34  0.00000000E+00   46.400556
  -9.625  0.58120888E-17  0.33780376E-34  0.00000000E+00   46.320312
  -9.617  0.62813719E-17  0.39455633E-34  0.00000000E+00   46.240139
  -9.608  0.67879596E-17  0.46076396E-34  0.00000000E+00   46.160035
  -9.600  0.73347849E-17  0.53799070E-34  0.00000000E+00   46.080000
  -9.592  0.79250077E-17  0.62805747E-34  0.00000000E+00   46.000035
  -9.583  0.85620320E-17  0.73308393E-34  0.00000000E+00   45.920139
  -9.575  0.92495247E-17  0.85553708E-34  0.00000000E+00   45.840312
  -9.567  0.99914356E-17  0.99828785E-34  0.00000000E+00   45.760556
  -9.558  0.10792019E-16  0.11646767E-33  0.00000000E+00   45.680868
  -9.550  0.11655856E-16  0.13585897E-33  0.00000000E+00   45.601250
  -9.542  0.12587881E-16  0.15845474E-33  0.00000000E+00   45.521701
  -9.533  0.13593407E-16  0.18478072E-33  0.00000000E+00   45.442222
  -9.525  0.14678156E-16  0.21544826E-33  0.00000000E+00   45.362813
  -9.517  0.15848287E-16  0.25116820E-33  0.00000000E+00   45.283472
  -9.508  0.17110432E-16  0.29276688E-33  0.00000000E+00   45.204201
  -9.500  0.18471730E-16  0.34120483E-33  0.00000000E+00   45.125000
  -9.492  0.19939868E-16  0.39759832E-33  0.00000000E+00   45.045868
  -9.483  0.21523116E-16  0.46324451E-33  0.00000000E+00   44.966806
  -9.475  0.23230378E-16  0.53965046E-33  0.00000000E+00   44.887812
  -9.467  0.25071236E-16  0.62856689E-33  0.00000000E+00   44.808889
  -9.458  0.27056003E-16  0.73202728E-33  0.00000000E+00   44.730035
  -9.450  0.29195772E-16  0.85239313E-33  0.00000000E+00   44.651250
  -9.442  0.31502485E-16  0.99240656E-33  0.00000000E+00   44.572535
  -9.433  0.33988985E-16  0.11552511E-32  0.00000000E+00   44.493889
  -9.425  0.36669092E-16  0.13446223E-32  0.00000000E+00   44.415313
  -9.417  0.39557672E-16  0.15648094E-32  0.00000000E+00   44.336806
  -9.408  0.42670715E-16  0.18207899E-32  0.00000000E+00   44.258368
  -9.400  0.46025420E-16  0.21183393E-32  0.00000000E+00   44.180000
  -9.392  0.49640285E-16  0.24641579E-32  0.00000000E+00   44.101701
  -9.383  0.53535204E-16  0.28660180E-32  0.00000000E+00   44.023472
  -9.375  0.57731566E-16  0.33329337E-32  0.00000000E+00   43.945312
  -9.367  0.62252374E-16  0.38753581E-32  0.00000000E+00   43.867222
  -9.358  0.67122359E-16  0.45054111E-32  0.00000000E+00   43.789201
  -9.350  0.72368108E-16  0.52371431E-32  0.00000000E+00   43.711250
  -9.342  0.78018204E-16  0.60868402E-32  0.00000000E+00   43.633368
  -9.333  0.84103372E-16  0.70733772E-32  0.00000000E+00   43.555556
  -9.325  0.90656636E-16  0.82186256E-32  0.00000000E+00   43.477812
  -9.317  0.97713489E-16  0.95479260E-32  0.00000000E+00   43.400139
  -9.308  0.10531208E-15  0.11090634E-31  0.00000000E+00   43.322535
  -9.300  0.11349339E-15  0.12880750E-31  0.00000000E+00   43.245000
  -9.292  0.12230148E-15  0.14957652E-31  0.00000000E+00   43.167535
  -9.283  0.13178367E-15  0.17366935E-31  0.00000000E+00   43.090139
  -9.275  0.14199080E-15  0.20161387E-31  0.00000000E+00   43.012813
  -9.267  0.15297750E-15  0.23402115E-31  0.00000000E+00   42.935556
  -9.258  0.16480244E-15  0.27159845E-31  0.00000000E+00   42.858368
  -9.250  0.17752866E-15  0.31516425E-31  0.00000000E+00   42.781250
  -9.242  0.19122384E-15  0.36566558E-31  0.00000000E+00   42.704201
  -9.233  0.20596069E-15  0.42419807E-31  0.00000000E+00   42.627222
  -9.225  0.22181728E-15  0.49202907E-31  0.00000000E+00   42.550312
  -9.217  0.23887745E-15  0.57062436E-31  0.00000000E+00   42.473472
  -9.208  0.25723121E-15  0.66167894E-31  0.00000000E+00   42.396701
  -9.200  0.27697521E-15  0.76715265E-31  0.00000000E+00   42.320000
  -9.192  0.29821320E-15  0.88931111E-31  0.00000000E+00   42.243368
  -9.183  0.32105656E-15  0.10307732E-30  0.00000000E+00   42.166806
  -9.175  0.34562486E-15  0.11945654E-30  0.00000000E+00   42.090313
  -9.167  0.37204641E-15  0.13841853E-30  0.00000000E+00   42.013889
  -9.158  0.40045893E-15  0.16036736E-30  0.00000000E+00   41.937535
