#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.39709392E-19  0.15768358E-38  0.00000000E+00   50.000000
  -9.986  0.80173258E-19  0.64277513E-38  0.00000000E+00   49.857245
  -9.971  0.12215611E-18  0.14922115E-37  0.00000000E+00   49.714694
  -9.957  0.16644642E-18  0.27704411E-37  0.00000000E+00   49.572347
  -9.943  0.21387124E-18  0.45740909E-37  0.00000000E+00   49.430204
  -9.929  0.26531132E-18  0.70390098E-37  0.00000000E+00   49.288265
  -9.914  0.32171706E-18  0.10350187E-36  0.00000000E+00   49.146531
  -9.900  0.38412554E-18  0.14755243E-36  0.00000000E+00   49.005000
  -9.886  0.45367902E-18  0.20582465E-36  0.00000000E+00   48.863673
  -9.871  0.53164502E-18  0.28264643E-36  0.00000000E+00   48.722551
  -9.857  0.61943857E-18  0.38370414E-36  0.00000000E+00   48.581633
  -9.843  0.71864685E-18  0.51645329E-36  0.00000000E+00   48.440918
  -9.829  0.83105664E-18  0.69065513E-36  0.00000000E+00   48.300408
  -9.814  0.95868512E-18  0.91907716E-36  0.00000000E+00   48.160102
  -9.800  0.11038144E-17  0.12184063E-35  0.00000000E+00   48.020000
  -9.786  0.12690307E-17  0.16104388E-35  0.00000000E+00   47.880102
  -9.771  0.14572676E-17  0.21236290E-35  0.00000000E+00   47.740408
  -9.757  0.16718568E-17  0.27951051E-35  0.00000000E+00   47.600918
  -9.743  0.19165831E-17  0.36732908E-35  0.00000000E+00   47.461633
  -9.729  0.21957488E-17  0.48213128E-35  0.00000000E+00   47.322551
  -9.714  0.25142453E-17  0.63214292E-35  0.00000000E+00   47.183673
  -9.700  0.28776345E-17  0.82807803E-35  0.00000000E+00   47.045000
  -9.686  0.32922416E-17  0.10838855E-34  0.00000000E+00   46.906531
  -9.671  0.37652595E-17  0.14177179E-34  0.00000000E+00   46.768265
  -9.657  0.43048673E-17  0.18531882E-34  0.00000000E+00   46.630204
  -9.643  0.49203648E-17  0.24209990E-34  0.00000000E+00   46.492347
  -9.629  0.56223249E-17  0.31610537E-34  0.00000000E+00   46.354694
