#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.57488047E-19  0.33048756E-38  0.00000000E+00   50.000000
  -9.978  0.11762427E-18  0.13835469E-37  0.00000000E+00   49.778025
  -9.956  0.18315497E-18  0.33545744E-37  0.00000000E+00   49.556543
  -9.933  0.25704617E-18  0.66072736E-37  0.00000000E+00   49.335556
  -9.911  0.34261494E-18  0.11738500E-36  0.00000000E+00   49.115062
  -9.889  0.44367396E-18  0.19684658E-36  0.00000000E+00   48.895062
  -9.867  0.56469551E-18  0.31888102E-36  0.00000000E+00   48.675556
  -9.844  0.71100177E-18  0.50552352E-36  0.00000000E+00   48.456543
  -9.822  0.88898900E-18  0.79030145E-36  0.00000000E+00   48.238025
  -9.800  0.11063949E-17  0.12241097E-35  0.00000000E+00   48.020000
  -9.778  0.13726197E-17  0.18840848E-35  0.00000000E+00   47.802469
  -9.756  0.16991134E-17  0.28869862E-35  0.00000000E+00   47.585432
  -9.733  0.20998449E-17  0.44093485E-35  0.00000000E+00   47.368889
  -9.711  0.25918708E-17  0.67177943E-35  0.00000000E+00   47.152840
  -9.689  0.31960259E-17  0.10214582E-34  0.00000000E+00   46.937284
  -9.667  0.39377620E-17  0.15505969E-34  0.00000000E+00   46.722222
  -9.644  0.48481666E-17  0.23504719E-34  0.00000000E+00   46.507654
  -9.622  0.59652012E-17  0.35583625E-34  0.00000000E+00   46.293580
  -9.600  0.73352040E-17  0.53805217E-34  0.00000000E+00   46.080000
  -9.578  0.90147153E-17  0.81265091E-34  0.00000000E+00   45.866914
  -9.556  0.11072692E-16  0.12260450E-33  0.00000000E+00   45.654321
  -9.533  0.13593192E-16  0.18477488E-33  0.00000000E+00   45.442222
  -9.511  0.16678636E-16  0.27817691E-33  0.00000000E+00   45.230617
  -9.489  0.20453747E-16  0.41835579E-33  0.00000000E+00   45.019506
  -9.467  0.25070334E-16  0.62852167E-33  0.00000000E+00   44.808889
  -9.444  0.30713076E-16  0.94329302E-33  0.00000000E+00   44.598765
