#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.21212937E-19  0.44998869E-39  0.00000000E+00   50.000000
  -9.993  0.42526541E-19  0.18085067E-38  0.00000000E+00   49.928597
  -9.986  0.64041673E-19  0.41013358E-38  0.00000000E+00   49.857245
  -9.979  0.85859836E-19  0.73719114E-38  0.00000000E+00   49.785944
  -9.971  0.10808365E-18  0.11682076E-37  0.00000000E+00   49.714694
  -9.964  0.13081734E-18  0.17113177E-37  0.00000000E+00   49.643495
  -9.957  0.15416720E-18  0.23767526E-37  0.00000000E+00   49.572347
  -9.950  0.17824210E-18  0.31770245E-37  0.00000000E+00   49.501250
  -9.943  0.20315396E-18  0.41271531E-37  0.00000000E+00   49.430204
  -9.936  0.22901830E-18  0.52449380E-37  0.00000000E+00   49.359209
  -9.929  0.25595471E-18  0.65512815E-37  0.00000000E+00   49.288265
  -9.921  0.28408745E-18  0.80705681E-37  0.00000000E+00   49.217372
  -9.914  0.31354595E-18  0.98311064E-37  0.00000000E+00   49.146531
  -9.907  0.34446542E-18  0.11865642E-36  0.00000000E+00   49.075740
  -9.900  0.37698743E-18  0.14211953E-36  0.00000000E+00   49.005000
  -9.893  0.41126058E-18  0.16913526E-36  0.00000000E+00   48.934311
  -9.886  0.44744109E-18  0.20020353E-36  0.00000000E+00   48.863673
  -9.879  0.48569353E-18  0.23589820E-36  0.00000000E+00   48.793087
  -9.871  0.52619154E-18  0.27687754E-36  0.00000000E+00   48.722551
  -9.864  0.56911857E-18  0.32389595E-36  0.00000000E+00   48.652066
  -9.857  0.61466869E-18  0.37781759E-36  0.00000000E+00   48.581633
  -9.850  0.66304741E-18  0.43963187E-36  0.00000000E+00   48.511250
  -9.843  0.71447260E-18  0.51047110E-36  0.00000000E+00   48.440918
  -9.836  0.76917542E-18  0.59163083E-36  0.00000000E+00   48.370638
  -9.829  0.82740129E-18  0.68459290E-36  0.00000000E+00   48.300408
  -9.821  0.88941097E-18  0.79105188E-36  0.00000000E+00   48.230230
  -9.814  0.95548167E-18  0.91294522E-36  0.00000000E+00   48.160102
  -9.807  0.10259082E-17  0.10524877E-35  0.00000000E+00   48.090026
  -9.800  0.11010043E-17  0.12122105E-35  0.00000000E+00   48.020000
  -9.793  0.11811040E-17  0.13950066E-35  0.00000000E+00   47.950026
  -9.786  0.12665627E-17  0.16041810E-35  0.00000000E+00   47.880102
  -9.779  0.13577592E-17  0.18435099E-35  0.00000000E+00   47.810230
  -9.771  0.14550969E-17  0.21173070E-35  0.00000000E+00   47.740408
  -9.764  0.15590058E-17  0.24304990E-35  0.00000000E+00   47.670638
  -9.757  0.16699439E-17  0.27887128E-35  0.00000000E+00   47.600918
  -9.750  0.17883997E-17  0.31983734E-35  0.00000000E+00   47.531250
  -9.743  0.19148935E-17  0.36668173E-35  0.00000000E+00   47.461633
  -9.736  0.20499804E-17  0.42024198E-35  0.00000000E+00   47.392066
  -9.729  0.21942520E-17  0.48147420E-35  0.00000000E+00   47.322551
  -9.721  0.23483391E-17  0.55146966E-35  0.00000000E+00   47.253087
  -9.714  0.25129143E-17  0.63147383E-35  0.00000000E+00   47.183673
  -9.707  0.26886948E-17  0.72290798E-35  0.00000000E+00   47.114311
  -9.700  0.28764454E-17  0.82739383E-35  0.00000000E+00   47.045000
  -9.693  0.30769817E-17  0.94678161E-35  0.00000000E+00   46.975740
  -9.686  0.32911731E-17  0.10831820E-34  0.00000000E+00   46.906531
  -9.679  0.35199471E-17  0.12390027E-34  0.00000000E+00   46.837372
  -9.671  0.37642923E-17  0.14169897E-34  0.00000000E+00   46.768265
  -9.664  0.40252632E-17  0.16202744E-34  0.00000000E+00   46.699209
  -9.657  0.43039841E-17  0.18524279E-34  0.00000000E+00   46.630204
  -9.650  0.46016535E-17  0.21175215E-34  0.00000000E+00   46.561250
  -9.643  0.49195497E-17  0.24201969E-34  0.00000000E+00   46.492347
  -9.636  0.52590353E-17  0.27657452E-34  0.00000000E+00   46.423495
  -9.629  0.56215632E-17  0.31601973E-34  0.00000000E+00   46.354694
  -9.621  0.60086824E-17  0.36104264E-34  0.00000000E+00   46.285944
  -9.614  0.64220440E-17  0.41242649E-34  0.00000000E+00   46.217245
  -9.607  0.68634083E-17  0.47106374E-34  0.00000000E+00   46.148597
  -9.600  0.73346518E-17  0.53797118E-34  0.00000000E+00   46.080000
  -9.593  0.78377746E-17  0.61430711E-34  0.00000000E+00   46.011454
  -9.586  0.83749086E-17  0.70139095E-34  0.00000000E+00   45.942959
  -9.579  0.89483261E-17  0.80072540E-34  0.00000000E+00   45.874515
  -9.571  0.95604488E-17  0.91402180E-34  0.00000000E+00   45.806122
  -9.564  0.10213858E-16  0.10432289E-33  0.00000000E+00   45.737781
  -9.557  0.10911303E-16  0.11905653E-33  0.00000000E+00   45.669490
  -9.550  0.11655716E-16  0.13585571E-33  0.00000000E+00   45.601250
  -9.543  0.12450219E-16  0.15500795E-33  0.00000000E+00   45.533061
  -9.536  0.13298140E-16  0.17684054E-33  0.00000000E+00   45.464923
  -9.529  0.14203026E-16  0.20172594E-33  0.00000000E+00   45.396837
  -9.521  0.15168652E-16  0.23008801E-33  0.00000000E+00   45.328801
  -9.514  0.16199044E-16  0.26240902E-33  0.00000000E+00   45.260816
  -9.507  0.17298488E-16  0.29923769E-33  0.00000000E+00   45.192883
  -9.500  0.18471551E-16  0.34119821E-33  0.00000000E+00   45.125000
  -9.493  0.19723098E-16  0.38900060E-33  0.00000000E+00   45.057168
  -9.486  0.21058309E-16  0.44345239E-33  0.00000000E+00   44.989388
  -9.479  0.22482703E-16  0.50547193E-33  0.00000000E+00   44.921658
  -9.471  0.24002156E-16  0.57610349E-33  0.00000000E+00   44.853980
  -9.464  0.25622927E-16  0.65653439E-33  0.00000000E+00   44.786352
  -9.457  0.27351681E-16  0.74811444E-33  0.00000000E+00   44.718776
  -9.450  0.29195514E-16  0.85237804E-33  0.00000000E+00   44.651250
  -9.443  0.31161983E-16  0.97106918E-33  0.00000000E+00   44.583776
  -9.436  0.33259133E-16  0.11061699E-32  0.00000000E+00   44.516352
  -9.429  0.35495530E-16  0.12599327E-32  0.00000000E+00   44.448980
  -9.421  0.37880293E-16  0.14349166E-32  0.00000000E+00   44.381658
  -9.414  0.40423130E-16  0.16340294E-32  0.00000000E+00   44.314388
  -9.407  0.43134374E-16  0.18605742E-32  0.00000000E+00   44.247168
  -9.400  0.46025024E-16  0.21183028E-32  0.00000000E+00   44.180000
