#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.27661876E-19  0.76517941E-39  0.00000000E+00   50.000000
  -9.990  0.55557175E-19  0.30865997E-38  0.00000000E+00   49.904807
  -9.981  0.83920408E-19  0.70426348E-38  0.00000000E+00   49.809705
  -9.971  0.11298905E-18  0.12766526E-37  0.00000000E+00   49.714694
  -9.962  0.14300554E-18  0.20450583E-37  0.00000000E+00   49.619773
  -9.952  0.17421921E-18  0.30352332E-37  0.00000000E+00   49.524943
  -9.943  0.20688839E-18  0.42802805E-37  0.00000000E+00   49.430204
  -9.933  0.24128247E-18  0.58217229E-37  0.00000000E+00   49.335556
  -9.924  0.27768406E-18  0.77108438E-37  0.00000000E+00   49.240998
  -9.914  0.31639128E-18  0.10010344E-36  0.00000000E+00   49.146531
  -9.905  0.35772009E-18  0.12796366E-36  0.00000000E+00   49.052154
  -9.895  0.40200680E-18  0.16160947E-36  0.00000000E+00   48.957868
  -9.886  0.44961075E-18  0.20214982E-36  0.00000000E+00   48.863673
  -9.876  0.50091704E-18  0.25091788E-36  0.00000000E+00   48.769569
  -9.867  0.55633962E-18  0.30951377E-36  0.00000000E+00   48.675556
  -9.857  0.61632442E-18  0.37985579E-36  0.00000000E+00   48.581633
  -9.848  0.68135282E-18  0.46424166E-36  0.00000000E+00   48.487800
  -9.838  0.75194537E-18  0.56542184E-36  0.00000000E+00   48.394059
  -9.829  0.82866575E-18  0.68668693E-36  0.00000000E+00   48.300408
  -9.819  0.91212509E-18  0.83197217E-36  0.00000000E+00   48.206848
  -9.810  0.10029866E-17  0.10059821E-35  0.00000000E+00   48.113379
  -9.800  0.11019706E-17  0.12143392E-35  0.00000000E+00   48.020000
  -9.790  0.12098601E-17  0.14637613E-35  0.00000000E+00   47.926712
  -9.781  0.13275063E-17  0.17622730E-35  0.00000000E+00   47.833515
  -9.771  0.14558357E-17  0.21194575E-35  0.00000000E+00   47.740408
  -9.762  0.15958563E-17  0.25467572E-35  0.00000000E+00   47.647392
  -9.752  0.17486655E-17  0.30578311E-35  0.00000000E+00   47.554467
  -9.743  0.19154586E-17  0.36689815E-35  0.00000000E+00   47.461633
  -9.733  0.20975368E-17  0.43996608E-35  0.00000000E+00   47.368889
  -9.724  0.22963180E-17  0.52730764E-35  0.00000000E+00   47.276236
  -9.714  0.25133464E-17  0.63169100E-35  0.00000000E+00   47.183673
  -9.705  0.27503042E-17  0.75641732E-35  0.00000000E+00   47.091202
  -9.695  0.30090243E-17  0.90542271E-35  0.00000000E+00   46.998821
  -9.686  0.32915033E-17  0.10833994E-34  0.00000000E+00   46.906531
  -9.676  0.35999164E-17  0.12959398E-34  0.00000000E+00   46.814331
  -9.667  0.39366334E-17  0.15497083E-34  0.00000000E+00   46.722222
  -9.657  0.43042359E-17  0.18526446E-34  0.00000000E+00   46.630204
  -9.648  0.47055359E-17  0.22142068E-34  0.00000000E+00   46.538277
  -9.638  0.51435967E-17  0.26456587E-34  0.00000000E+00   46.446440
  -9.629  0.56217546E-17  0.31604125E-34  0.00000000E+00   46.354694
  -9.619  0.61436435E-17  0.37744356E-34  0.00000000E+00   46.263039
  -9.610  0.67132209E-17  0.45067335E-34  0.00000000E+00   46.171474
  -9.600  0.73347963E-17  0.53799237E-34  0.00000000E+00   46.080000
  -9.590  0.80130623E-17  0.64209167E-34  0.00000000E+00   45.988617
  -9.581  0.87531282E-17  0.76617252E-34  0.00000000E+00   45.897324
  -9.571  0.95605565E-17  0.91404240E-34  0.00000000E+00   45.806122
  -9.562  0.10441403E-16  0.10902289E-33  0.00000000E+00   45.715011
  -9.552  0.11402258E-16  0.13001149E-33  0.00000000E+00   45.623991
  -9.543  0.12450297E-16  0.15500991E-33  0.00000000E+00   45.533061
  -9.533  0.13593328E-16  0.18477857E-33  0.00000000E+00   45.442222
  -9.524  0.14839847E-16  0.22022105E-33  0.00000000E+00   45.351474
  -9.514  0.16199099E-16  0.26241081E-33  0.00000000E+00   45.260816
  -9.505  0.17681144E-16  0.31262284E-33  0.00000000E+00   45.170249
  -9.495  0.19296924E-16  0.37237128E-33  0.00000000E+00   45.079773
  -9.486  0.21058345E-16  0.44345388E-33  0.00000000E+00   44.989388
  -9.476  0.22978354E-16  0.52800473E-33  0.00000000E+00   44.899093
  -9.467  0.25071033E-16  0.62855672E-33  0.00000000E+00   44.808889
  -9.457  0.27351699E-16  0.74811544E-33  0.00000000E+00   44.718776
  -9.448  0.29837003E-16  0.89024677E-33  0.00000000E+00   44.628753
  -9.438  0.32545053E-16  0.10591805E-32  0.00000000E+00   44.538821
  -9.429  0.35495533E-16  0.12599329E-32  0.00000000E+00   44.448980
  -9.419  0.38709843E-16  0.14984519E-32  0.00000000E+00   44.359229
  -9.410  0.42211242E-16  0.17817889E-32  0.00000000E+00   44.269569
  -9.400  0.46025011E-16  0.21183017E-32  0.00000000E+00   44.180000
  -9.390  0.50178625E-16  0.25178944E-32  0.00000000E+00   44.090522
  -9.381  0.54701937E-16  0.29923019E-32  0.00000000E+00   44.001134
  -9.371  0.59627385E-16  0.35554251E-32  0.00000000E+00   43.911837
  -9.362  0.64990213E-16  0.42237277E-32  0.00000000E+00   43.822630
  -9.352  0.70828703E-16  0.50167051E-32  0.00000000E+00   43.733515
  -9.343  0.77184441E-16  0.59574379E-32  0.00000000E+00   43.644490
  -9.333  0.84102595E-16  0.70732464E-32  0.00000000E+00   43.555556
  -9.324  0.91632215E-16  0.83964628E-32  0.00000000E+00   43.466712
  -9.314  0.99826568E-16  0.99653436E-32  0.00000000E+00   43.377959
  -9.305  0.10874349E-15  0.11825146E-31  0.00000000E+00   43.289297
  -9.295  0.11844577E-15  0.14029400E-31  0.00000000E+00   43.200726
  -9.286  0.12900157E-15  0.16641406E-31  0.00000000E+00   43.112245
