#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.19887398E-19  0.39550861E-39  0.00000000E+00   50.000000
  -9.993  0.39857007E-19  0.15885810E-38  0.00000000E+00   49.933356
  -9.987  0.59991158E-19  0.35989390E-38  0.00000000E+00   49.866756
  -9.980  0.80372627E-19  0.64597592E-38  0.00000000E+00   49.800200
  -9.973  0.10108497E-18  0.10218171E-37  0.00000000E+00   49.733689
  -9.967  0.12221286E-18  0.14935982E-37  0.00000000E+00   49.667222
  -9.960  0.14384243E-18  0.20690644E-37  0.00000000E+00   49.600800
  -9.953  0.16606162E-18  0.27576463E-37  0.00000000E+00   49.534422
  -9.947  0.18896054E-18  0.35706087E-37  0.00000000E+00   49.468089
  -9.940  0.21263181E-18  0.45212285E-37  0.00000000E+00   49.401800
  -9.933  0.23717091E-18  0.56250042E-37  0.00000000E+00   49.335556
  -9.927  0.26267662E-18  0.68999007E-37  0.00000000E+00   49.269356
  -9.920  0.28925134E-18  0.83666336E-37  0.00000000E+00   49.203200
  -9.913  0.31700151E-18  0.10048996E-36  0.00000000E+00   49.137089
  -9.907  0.34603805E-18  0.11974233E-36  0.00000000E+00   49.071022
  -9.900  0.37647675E-18  0.14173474E-36  0.00000000E+00   49.005000
  -9.893  0.40843873E-18  0.16682220E-36  0.00000000E+00   48.939022
  -9.887  0.44205094E-18  0.19540903E-36  0.00000000E+00   48.873089
  -9.880  0.47744657E-18  0.22795523E-36  0.00000000E+00   48.807200
  -9.873  0.51476564E-18  0.26498367E-36  0.00000000E+00   48.741356
  -9.867  0.55415548E-18  0.30708829E-36  0.00000000E+00   48.675556
  -9.860  0.59577128E-18  0.35494342E-36  0.00000000E+00   48.609800
  -9.853  0.63977675E-18  0.40931429E-36  0.00000000E+00   48.544089
  -9.847  0.68634464E-18  0.47106896E-36  0.00000000E+00   48.478422
  -9.840  0.73565746E-18  0.54119189E-36  0.00000000E+00   48.412800
  -9.833  0.78790813E-18  0.62079922E-36  0.00000000E+00   48.347222
  -9.827  0.84330073E-18  0.71115612E-36  0.00000000E+00   48.281689
  -9.820  0.90205123E-18  0.81369642E-36  0.00000000E+00   48.216200
  -9.813  0.96438830E-18  0.93004480E-36  0.00000000E+00   48.150756
  -9.807  0.10305542E-17  0.10620420E-35  0.00000000E+00   48.085356
  -9.800  0.11008056E-17  0.12117730E-35  0.00000000E+00   48.020000
  -9.793  0.11754146E-17  0.13815996E-35  0.00000000E+00   47.954689
  -9.787  0.12546698E-17  0.15741964E-35  0.00000000E+00   47.889422
  -9.780  0.13388771E-17  0.17925920E-35  0.00000000E+00   47.824200
  -9.773  0.14283612E-17  0.20402156E-35  0.00000000E+00   47.759022
  -9.767  0.15234663E-17  0.23209496E-35  0.00000000E+00   47.693889
  -9.760  0.16245580E-17  0.26391888E-35  0.00000000E+00   47.628800
  -9.753  0.17320242E-17  0.29999078E-35  0.00000000E+00   47.563756
  -9.747  0.18462764E-17  0.34087365E-35  0.00000000E+00   47.498756
  -9.740  0.19677516E-17  0.38720464E-35  0.00000000E+00   47.433800
  -9.733  0.20969137E-17  0.43970472E-35  0.00000000E+00   47.368889
  -9.727  0.22342552E-17  0.49918963E-35  0.00000000E+00   47.304022
  -9.720  0.23802989E-17  0.56658227E-35  0.00000000E+00   47.239200
  -9.713  0.25355998E-17  0.64292665E-35  0.00000000E+00   47.174422
  -9.707  0.27007475E-17  0.72940368E-35  0.00000000E+00   47.109689
  -9.700  0.28763675E-17  0.82734901E-35  0.00000000E+00   47.045000
  -9.693  0.30631245E-17  0.93827315E-35  0.00000000E+00   46.980356
  -9.687  0.32617238E-17  0.10638842E-34  0.00000000E+00   46.915756
  -9.680  0.34729145E-17  0.12061135E-34  0.00000000E+00   46.851200
  -9.673  0.36974920E-17  0.13671447E-34  0.00000000E+00   46.786689
  -9.667  0.39363007E-17  0.15494463E-34  0.00000000E+00   46.722222
  -9.660  0.41902372E-17  0.17558088E-34  0.00000000E+00   46.657800
  -9.653  0.44602533E-17  0.19893860E-34  0.00000000E+00   46.593422
  -9.647  0.47473598E-17  0.22537425E-34  0.00000000E+00   46.529089
  -9.640  0.50526295E-17  0.25529065E-34  0.00000000E+00   46.464800
  -9.633  0.53772015E-17  0.28914297E-34  0.00000000E+00   46.400556
  -9.627  0.57222851E-17  0.32744547E-34  0.00000000E+00   46.336356
  -9.620  0.60891638E-17  0.37077916E-34  0.00000000E+00   46.272200
  -9.613  0.64792004E-17  0.41980038E-34  0.00000000E+00   46.208089
  -9.607  0.68938412E-17  0.47525046E-34  0.00000000E+00   46.144022
  -9.600  0.73346215E-17  0.53796673E-34  0.00000000E+00   46.080000
  -9.593  0.78031709E-17  0.60889475E-34  0.00000000E+00   46.016022
  -9.587  0.83012188E-17  0.68910234E-34  0.00000000E+00   45.952089
  -9.580  0.88306009E-17  0.77979513E-34  0.00000000E+00   45.888200
  -9.573  0.93932653E-17  0.88233433E-34  0.00000000E+00   45.824356
  -9.567  0.99912792E-17  0.99825660E-34  0.00000000E+00   45.760556
  -9.560  0.10626836E-16  0.11292965E-33  0.00000000E+00   45.696800
  -9.553  0.11302265E-16  0.12774119E-33  0.00000000E+00   45.633089
  -9.547  0.12020035E-16  0.14448124E-33  0.00000000E+00   45.569422
  -9.540  0.12782767E-16  0.16339913E-33  0.00000000E+00   45.505800
  -9.533  0.13593242E-16  0.18477624E-33  0.00000000E+00   45.442222
  -9.527  0.14454411E-16  0.20892999E-33  0.00000000E+00   45.378689
  -9.520  0.15369402E-16  0.23621853E-33  0.00000000E+00   45.315200
  -9.513  0.16341538E-16  0.26704585E-33  0.00000000E+00   45.251756
  -9.507  0.17374338E-16  0.30186763E-33  0.00000000E+00   45.188356
  -9.500  0.18471541E-16  0.34119782E-33  0.00000000E+00   45.125000
