#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.21944128E-19  0.48154478E-39  0.00000000E+00   50.000000
  -9.993  0.44000253E-19  0.19360223E-38  0.00000000E+00   49.925953
  -9.985  0.66280613E-19  0.43931197E-38  0.00000000E+00   49.851962
  -9.978  0.88898232E-19  0.79028956E-38  0.00000000E+00   49.778025
  -9.970  0.11196748E-18  0.12536717E-37  0.00000000E+00   49.704143
  -9.963  0.13560466E-18  0.18388624E-37  0.00000000E+00   49.630316
  -9.956  0.15992857E-18  0.25577148E-37  0.00000000E+00   49.556543
  -9.948  0.18506110E-18  0.34247612E-37  0.00000000E+00   49.482826
  -9.941  0.21112783E-18  0.44574963E-37  0.00000000E+00   49.409163
  -9.933  0.23825865E-18  0.56767184E-37  0.00000000E+00   49.335556
  -9.926  0.26658836E-18  0.71069354E-37  0.00000000E+00   49.262003
  -9.919  0.29625737E-18  0.87768430E-37  0.00000000E+00   49.188505
  -9.911  0.32741235E-18  0.10719884E-36  0.00000000E+00   49.115062
  -9.904  0.36020691E-18  0.12974902E-36  0.00000000E+00   49.041674
  -9.896  0.39480240E-18  0.15586893E-36  0.00000000E+00   48.968340
  -9.889  0.43136858E-18  0.18607885E-36  0.00000000E+00   48.895062
  -9.881  0.47008453E-18  0.22097946E-36  0.00000000E+00   48.821838
  -9.874  0.51113940E-18  0.26126348E-36  0.00000000E+00   48.748669
  -9.867  0.55473336E-18  0.30772910E-36  0.00000000E+00   48.675556
  -9.859  0.60107850E-18  0.36129537E-36  0.00000000E+00   48.602497
  -9.852  0.65039986E-18  0.42301998E-36  0.00000000E+00   48.529492
  -9.844  0.70293643E-18  0.49411963E-36  0.00000000E+00   48.456543
  -9.837  0.75894230E-18  0.57599341E-36  0.00000000E+00   48.383649
  -9.830  0.81868779E-18  0.67024970E-36  0.00000000E+00   48.310809
  -9.822  0.88246076E-18  0.77873700E-36  0.00000000E+00   48.238025
  -9.815  0.95056788E-18  0.90357930E-36  0.00000000E+00   48.165295
  -9.807  0.10233361E-17  0.10472167E-35  0.00000000E+00   48.092620
  -9.800  0.11011139E-17  0.12124519E-35  0.00000000E+00   48.020000
  -9.793  0.11842735E-17  0.14025037E-35  0.00000000E+00   47.947435
  -9.785  0.12732118E-17  0.16210682E-35  0.00000000E+00   47.874925
  -9.778  0.13683525E-17  0.18723887E-35  0.00000000E+00   47.802469
  -9.770  0.14701484E-17  0.21613364E-35  0.00000000E+00   47.730069
  -9.763  0.15790829E-17  0.24935027E-35  0.00000000E+00   47.657723
  -9.756  0.16956722E-17  0.28753042E-35  0.00000000E+00   47.585432
  -9.748  0.18204682E-17  0.33141045E-35  0.00000000E+00   47.513196
  -9.741  0.19540604E-17  0.38183521E-35  0.00000000E+00   47.441015
  -9.733  0.20970788E-17  0.43977395E-35  0.00000000E+00   47.368889
  -9.726  0.22501967E-17  0.50633852E-35  0.00000000E+00   47.296818
  -9.719  0.24141337E-17  0.58280416E-35  0.00000000E+00   47.224801
  -9.711  0.25896589E-17  0.67063334E-35  0.00000000E+00   47.152840
  -9.704  0.27775945E-17  0.77150310E-35  0.00000000E+00   47.080933
  -9.696  0.29788190E-17  0.88733627E-35  0.00000000E+00   47.009081
  -9.689  0.31942718E-17  0.10203372E-34  0.00000000E+00   46.937284
  -9.681  0.34249567E-17  0.11730329E-34  0.00000000E+00   46.865542
  -9.674  0.36719469E-17  0.13483194E-34  0.00000000E+00   46.793855
  -9.667  0.39363891E-17  0.15495159E-34  0.00000000E+00   46.722222
  -9.659  0.42195094E-17  0.17804260E-34  0.00000000E+00   46.650645
  -9.652  0.45226180E-17  0.20454074E-34  0.00000000E+00   46.579122
  -9.644  0.48471151E-17  0.23494525E-34  0.00000000E+00   46.507654
  -9.637  0.51944975E-17  0.26982804E-34  0.00000000E+00   46.436241
  -9.630  0.55663643E-17  0.30984412E-34  0.00000000E+00   46.364883
  -9.622  0.59644250E-17  0.35574365E-34  0.00000000E+00   46.293580
  -9.615  0.63905058E-17  0.40838564E-34  0.00000000E+00   46.222332
  -9.607  0.68465585E-17  0.46875363E-34  0.00000000E+00   46.151139
  -9.600  0.73346685E-17  0.53797362E-34  0.00000000E+00   46.080000
  -9.593  0.78570639E-17  0.61733453E-34  0.00000000E+00   46.008916
  -9.585  0.84161253E-17  0.70831165E-34  0.00000000E+00   45.937888
  -9.578  0.90143960E-17  0.81259335E-34  0.00000000E+00   45.866914
  -9.570  0.96545929E-17  0.93211163E-34  0.00000000E+00   45.795995
  -9.563  0.10339618E-16  0.10690771E-33  0.00000000E+00   45.725130
  -9.556  0.11072573E-16  0.12260187E-33  0.00000000E+00   45.654321
  -9.548  0.11856768E-16  0.14058294E-33  0.00000000E+00   45.583567
  -9.541  0.12695740E-16  0.16118181E-33  0.00000000E+00   45.512867
  -9.533  0.13593266E-16  0.18477689E-33  0.00000000E+00   45.442222
  -9.526  0.14553382E-16  0.21180092E-33  0.00000000E+00   45.371632
  -9.519  0.15580394E-16  0.24274867E-33  0.00000000E+00   45.301097
  -9.511  0.16678903E-16  0.27818579E-33  0.00000000E+00   45.230617
  -9.504  0.17853820E-16  0.31875889E-33  0.00000000E+00   45.160192
  -9.496  0.19110390E-16  0.36520702E-33  0.00000000E+00   45.089822
  -9.489  0.20454213E-16  0.41837483E-33  0.00000000E+00   45.019506
  -9.481  0.21891265E-16  0.47922749E-33  0.00000000E+00   44.949246
  -9.474  0.23427928E-16  0.54886781E-33  0.00000000E+00   44.879040
