#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.45329861E-19  0.20547963E-38  0.00000000E+00   50.000000
  -9.983  0.91832560E-19  0.84332191E-38  0.00000000E+00   49.833472
  -9.967  0.14070345E-18  0.19797461E-37  0.00000000E+00   49.667222
  -9.950  0.19319012E-18  0.37322422E-37  0.00000000E+00   49.501250
  -9.933  0.25062370E-18  0.62812237E-37  0.00000000E+00   49.335556
  -9.917  0.31445185E-18  0.98879964E-37  0.00000000E+00   49.170139
  -9.900  0.38627423E-18  0.14920778E-36  0.00000000E+00   49.005000
  -9.883  0.46788129E-18  0.21891291E-36  0.00000000E+00   48.840139
  -9.867  0.56129726E-18  0.31505461E-36  0.00000000E+00   48.675556
  -9.850  0.66882840E-18  0.44733143E-36  0.00000000E+00   48.511250
  -9.833  0.79311760E-18  0.62903552E-36  0.00000000E+00   48.347222
  -9.817  0.93720650E-18  0.87835603E-36  0.00000000E+00   48.183472
  -9.800  0.11046066E-17  0.12201558E-35  0.00000000E+00   48.020000
  -9.783  0.12993811E-17  0.16883912E-35  0.00000000E+00   47.856806
  -9.767  0.15262385E-17  0.23294038E-35  0.00000000E+00   47.693889
  -9.750  0.17906414E-17  0.32063967E-35  0.00000000E+00   47.531250
  -9.733  0.20989319E-17  0.44055150E-35  0.00000000E+00   47.368889
  -9.717  0.24584758E-17  0.60441032E-35  0.00000000E+00   47.206806
  -9.700  0.28778305E-17  0.82819086E-35  0.00000000E+00   47.045000
  -9.683  0.33669387E-17  0.11336276E-34  0.00000000E+00   46.883472
  -9.667  0.39373519E-17  0.15502740E-34  0.00000000E+00   46.722222
  -9.650  0.46024906E-17  0.21182920E-34  0.00000000E+00   46.561250
  -9.633  0.53779436E-17  0.28922277E-34  0.00000000E+00   46.400556
  -9.617  0.62818152E-17  0.39461202E-34  0.00000000E+00   46.240139
  -9.600  0.73351267E-17  0.53804084E-34  0.00000000E+00   46.080000
  -9.583  0.85622807E-17  0.73312650E-34  0.00000000E+00   45.920139
  -9.567  0.99915972E-17  0.99832014E-34  0.00000000E+00   45.760556
  -9.550  0.11655934E-16  0.13586081E-33  0.00000000E+00   45.601250
  -9.533  0.13593405E-16  0.18478066E-33  0.00000000E+00   45.442222
  -9.517  0.15848204E-16  0.25116558E-33  0.00000000E+00   45.283472
  -9.500  0.18471566E-16  0.34119875E-33  0.00000000E+00   45.125000
  -9.483  0.21522866E-16  0.46323375E-33  0.00000000E+00   44.966806
  -9.467  0.25070896E-16  0.62854983E-33  0.00000000E+00   44.808889
  -9.450  0.29195334E-16  0.85236755E-33  0.00000000E+00   44.651250
  -9.433  0.33988440E-16  0.11552141E-32  0.00000000E+00   44.493889
  -9.417  0.39557008E-16  0.15647569E-32  0.00000000E+00   44.336806
  -9.400  0.46024624E-16  0.21182660E-32  0.00000000E+00   44.180000
  -9.383  0.53534257E-16  0.28659167E-32  0.00000000E+00   44.023472
